Warehouse_Region,Postcode,Distance_km,Distance_Category
3xxx (VIC (Brooklyn)),3833,152.7,90-300km
3xxx (VIC (Brooklyn)),3835,148.1,90-300km
3xxx (VIC (Brooklyn)),3840,172.4,90-300km
3xxx (VIC (Brooklyn)),3841,184.1,90-300km
3xxx (VIC (Brooklyn)),3842,171.4,90-300km
3xxx (VIC (Brooklyn)),3844,192.8,90-300km
3xxx (VIC (Brooklyn)),3847,206.3,90-300km
3xxx (VIC (Brooklyn)),3850,223.7,90-300km
3xxx (VIC (Brooklyn)),3851,233.9,90-300km
3xxx (VIC (Brooklyn)),3852,232.1,90-300km
3xxx (VIC (Brooklyn)),3853,224.3,90-300km
3xxx (VIC (Brooklyn)),3854,177.1,90-300km
3xxx (VIC (Brooklyn)),3856,187.8,90-300km
3xxx (VIC (Brooklyn)),3857,196.2,90-300km
3xxx (VIC (Brooklyn)),3858,217.9,90-300km
3xxx (VIC (Brooklyn)),3859,227.6,90-300km
3xxx (VIC (Brooklyn)),3860,236.9,90-300km
3xxx (VIC (Brooklyn)),3862,266.0,90-300km
3xxx (VIC (Brooklyn)),3864,272.3,90-300km
3xxx (VIC (Brooklyn)),3865,283.2,90-300km
3xxx (VIC (Brooklyn)),3869,184.4,90-300km
3xxx (VIC (Brooklyn)),3870,184.1,90-300km
3xxx (VIC (Brooklyn)),3871,167.5,90-300km
3xxx (VIC (Brooklyn)),3873,191.8,90-300km
3xxx (VIC (Brooklyn)),3874,221.5,90-300km
3xxx (VIC (Brooklyn)),3875,295.5,90-300km
3xxx (VIC (Brooklyn)),3878,301.2,300+km
3xxx (VIC (Brooklyn)),3880,306.0,300+km
3xxx (VIC (Brooklyn)),3882,302.3,300+km
3xxx (VIC (Brooklyn)),3885,378.7,300+km
3xxx (VIC (Brooklyn)),3886,379.0,300+km
3xxx (VIC (Brooklyn)),3887,347.3,300+km
3xxx (VIC (Brooklyn)),3888,414.6,300+km
3xxx (VIC (Brooklyn)),3889,437.9,300+km
3xxx (VIC (Brooklyn)),3890,457.9,300+km
3xxx (VIC (Brooklyn)),3891,508.0,300+km
3xxx (VIC (Brooklyn)),3892,525.0,300+km
3xxx (VIC (Brooklyn)),3893,357.3,300+km
3xxx (VIC (Brooklyn)),3895,369.6,300+km
3xxx (VIC (Brooklyn)),3896,391.8,300+km
3xxx (VIC (Brooklyn)),3898,434.1,300+km
3xxx (VIC (Brooklyn)),3900,436.3,300+km
3xxx (VIC (Brooklyn)),3902,309.7,300+km
3xxx (VIC (Brooklyn)),3903,315.4,300+km
3xxx (VIC (Brooklyn)),3904,322.6,300+km
3xxx (VIC (Brooklyn)),3909,324.7,300+km
3xxx (VIC (Brooklyn)),3913,79.5,61-90km
3xxx (VIC (Brooklyn)),3916,102.1,90-300km
3xxx (VIC (Brooklyn)),3920,90.5,90-300km
3xxx (VIC (Brooklyn)),3921,139.9,90-300km
3xxx (VIC (Brooklyn)),3922,155.0,90-300km
3xxx (VIC (Brooklyn)),3923,148.5,90-300km
3xxx (VIC (Brooklyn)),3925,136.0,90-300km
3xxx (VIC (Brooklyn)),3926,95.9,90-300km
3xxx (VIC (Brooklyn)),3927,95.3,90-300km
3xxx (VIC (Brooklyn)),3928,103.6,90-300km
3xxx (VIC (Brooklyn)),3929,112.2,90-300km
3xxx (VIC (Brooklyn)),3936,96.4,90-300km
3xxx (VIC (Brooklyn)),3937,98.4,90-300km
3xxx (VIC (Brooklyn)),3938,100.0,90-300km
3xxx (VIC (Brooklyn)),3939,106.9,90-300km
3xxx (VIC (Brooklyn)),3940,105.0,90-300km
3xxx (VIC (Brooklyn)),3941,114.0,90-300km
3xxx (VIC (Brooklyn)),3942,113.8,90-300km
3xxx (VIC (Brooklyn)),3943,123.1,90-300km
3xxx (VIC (Brooklyn)),3944,126.2,90-300km
3xxx (VIC (Brooklyn)),3945,121.7,90-300km
3xxx (VIC (Brooklyn)),3946,126.2,90-300km
3xxx (VIC (Brooklyn)),3950,133.5,90-300km
3xxx (VIC (Brooklyn)),3951,131.8,90-300km
3xxx (VIC (Brooklyn)),3953,153.4,90-300km
3xxx (VIC (Brooklyn)),3954,153.9,90-300km
3xxx (VIC (Brooklyn)),3956,175.4,90-300km
3xxx (VIC (Brooklyn)),3957,163.4,90-300km
3xxx (VIC (Brooklyn)),3958,172.3,90-300km
3xxx (VIC (Brooklyn)),3959,189.8,90-300km
3xxx (VIC (Brooklyn)),3960,190.0,90-300km
3xxx (VIC (Brooklyn)),3962,205.2,90-300km
3xxx (VIC (Brooklyn)),3964,191.7,90-300km
3xxx (VIC (Brooklyn)),3965,208.8,90-300km
3xxx (VIC (Brooklyn)),3966,209.8,90-300km
3xxx (VIC (Brooklyn)),3967,211.6,90-300km
3xxx (VIC (Brooklyn)),3971,240.3,90-300km
3xxx (VIC (Brooklyn)),3977,67.0,61-90km
3xxx (VIC (Brooklyn)),3979,123.8,90-300km
3xxx (VIC (Brooklyn)),3981,90.0,61-90km
3xxx (VIC (Brooklyn)),3984,105.5,90-300km
3xxx (VIC (Brooklyn)),3987,113.0,90-300km
3xxx (VIC (Brooklyn)),3988,133.2,90-300km
3xxx (VIC (Brooklyn)),3990,121.2,90-300km
3xxx (VIC (Brooklyn)),3991,128.0,90-300km
3xxx (VIC (Brooklyn)),3992,135.8,90-300km
3xxx (VIC (Brooklyn)),3995,142.2,90-300km
3xxx (VIC (Brooklyn)),3996,161.9,90-300km
4xxx (QLD (Archerfield)),4008,28.7,<30km
4xxx (QLD (Archerfield)),4025,71.7,61-90km
4xxx (QLD (Archerfield)),4029,75.1,61-90km
4xxx (QLD (Archerfield)),4117,16.8,<30km
4xxx (QLD (Archerfield)),4165,40.8,30-60km
4xxx (QLD (Archerfield)),4183,57.2,30-60km
4xxx (QLD (Archerfield)),4205,28.3,<30km
4xxx (QLD (Archerfield)),4211,75.9,61-90km
4xxx (QLD (Archerfield)),4213,91.4,90-300km
4xxx (QLD (Archerfield)),4220,91.2,90-300km
4xxx (QLD (Archerfield)),4221,92.4,90-300km
4xxx (QLD (Archerfield)),4222,90.4,90-300km
4xxx (QLD (Archerfield)),4223,93.6,90-300km
4xxx (QLD (Archerfield)),4224,96.0,90-300km
4xxx (QLD (Archerfield)),4225,101.5,90-300km
4xxx (QLD (Archerfield)),4228,95.2,90-300km
4xxx (QLD (Archerfield)),4272,79.3,61-90km
4xxx (QLD (Archerfield)),4285,61.9,61-90km
4xxx (QLD (Archerfield)),4287,101.3,90-300km
4xxx (QLD (Archerfield)),4306,53.2,30-60km
4xxx (QLD (Archerfield)),4307,59.6,30-60km
4xxx (QLD (Archerfield)),4309,80.2,61-90km
4xxx (QLD (Archerfield)),4312,106.2,90-300km
4xxx (QLD (Archerfield)),4313,109.9,90-300km
4xxx (QLD (Archerfield)),4340,59.9,30-60km
4xxx (QLD (Archerfield)),4343,98.1,90-300km
4xxx (QLD (Archerfield)),4344,95.6,90-300km
4xxx (QLD (Archerfield)),4347,91.9,90-300km
4xxx (QLD (Archerfield)),4350,120.3,90-300km
4xxx (QLD (Archerfield)),4352,136.8,90-300km
4xxx (QLD (Archerfield)),4353,160.8,90-300km
4xxx (QLD (Archerfield)),4354,148.4,90-300km
4xxx (QLD (Archerfield)),4355,99.4,90-300km
4xxx (QLD (Archerfield)),4356,170.1,90-300km
4xxx (QLD (Archerfield)),4357,223.5,90-300km
4xxx (QLD (Archerfield)),4358,142.6,90-300km
4xxx (QLD (Archerfield)),4359,136.4,90-300km
4xxx (QLD (Archerfield)),4360,155.6,90-300km
4xxx (QLD (Archerfield)),4361,145.9,90-300km
4xxx (QLD (Archerfield)),4362,149.5,90-300km
4xxx (QLD (Archerfield)),4363,151.9,90-300km
4xxx (QLD (Archerfield)),4364,179.9,90-300km
4xxx (QLD (Archerfield)),4365,188.4,90-300km
4xxx (QLD (Archerfield)),4370,148.1,90-300km
4xxx (QLD (Archerfield)),4371,152.1,90-300km
4xxx (QLD (Archerfield)),4372,163.3,90-300km
4xxx (QLD (Archerfield)),4373,178.7,90-300km
4xxx (QLD (Archerfield)),4374,189.2,90-300km
4xxx (QLD (Archerfield)),4375,136.8,90-300km
4xxx (QLD (Archerfield)),4376,195.9,90-300km
4xxx (QLD (Archerfield)),4377,200.9,90-300km
4xxx (QLD (Archerfield)),4378,203.8,90-300km
4xxx (QLD (Archerfield)),4380,226.4,90-300km
4xxx (QLD (Archerfield)),4381,222.5,90-300km
4xxx (QLD (Archerfield)),4382,232.5,90-300km
4xxx (QLD (Archerfield)),4383,246.3,90-300km
4xxx (QLD (Archerfield)),4384,275.8,90-300km
4xxx (QLD (Archerfield)),4385,332.2,300+km
4xxx (QLD (Archerfield)),4387,263.0,90-300km
4xxx (QLD (Archerfield)),4388,312.8,300+km
4xxx (QLD (Archerfield)),4390,307.5,300+km
4xxx (QLD (Archerfield)),4400,138.2,90-300km
4xxx (QLD (Archerfield)),4401,150.9,90-300km
4xxx (QLD (Archerfield)),4402,190.1,90-300km
4xxx (QLD (Archerfield)),4403,171.0,90-300km
4xxx (QLD (Archerfield)),4404,179.9,90-300km
4xxx (QLD (Archerfield)),4405,220.0,90-300km
4xxx (QLD (Archerfield)),4406,265.4,90-300km
4xxx (QLD (Archerfield)),4407,195.6,90-300km
4xxx (QLD (Archerfield)),4408,229.4,90-300km
4xxx (QLD (Archerfield)),4410,248.0,90-300km
4xxx (QLD (Archerfield)),4411,243.6,90-300km
4xxx (QLD (Archerfield)),4412,259.8,90-300km
4xxx (QLD (Archerfield)),4413,283.4,90-300km
4xxx (QLD (Archerfield)),4415,338.4,300+km
4xxx (QLD (Archerfield)),4416,343.2,300+km
4xxx (QLD (Archerfield)),4417,310.1,300+km
4xxx (QLD (Archerfield)),4418,375.6,300+km
4xxx (QLD (Archerfield)),4419,415.5,300+km
4xxx (QLD (Archerfield)),4420,487.8,300+km
4xxx (QLD (Archerfield)),4421,281.1,90-300km
4xxx (QLD (Archerfield)),4422,377.6,300+km
4xxx (QLD (Archerfield)),4423,370.9,300+km
4xxx (QLD (Archerfield)),4424,379.7,300+km
4xxx (QLD (Archerfield)),4425,377.6,300+km
4xxx (QLD (Archerfield)),4426,399.4,300+km
4xxx (QLD (Archerfield)),4427,407.1,300+km
4xxx (QLD (Archerfield)),4428,424.7,300+km
4xxx (QLD (Archerfield)),4454,626.0,300+km
4xxx (QLD (Archerfield)),4455,480.1,300+km
4xxx (QLD (Archerfield)),4461,507.6,300+km
4xxx (QLD (Archerfield)),4462,530.5,300+km
4xxx (QLD (Archerfield)),4465,562.1,300+km
4xxx (QLD (Archerfield)),4467,599.3,300+km
4xxx (QLD (Archerfield)),4468,643.3,300+km
4xxx (QLD (Archerfield)),4470,773.6,300+km
4xxx (QLD (Archerfield)),4471,877.8,300+km
4xxx (QLD (Archerfield)),4472,963.2,300+km
4xxx (QLD (Archerfield)),4474,1016.9,300+km
4xxx (QLD (Archerfield)),4475,868.5,300+km
4xxx (QLD (Archerfield)),4477,760.9,300+km
4xxx (QLD (Archerfield)),4478,980.6,300+km
4xxx (QLD (Archerfield)),4479,832.3,300+km
4xxx (QLD (Archerfield)),4480,1005.3,300+km
4xxx (QLD (Archerfield)),4481,1190.5,300+km
4xxx (QLD (Archerfield)),4482,1646.0,300+km
4xxx (QLD (Archerfield)),4486,630.9,300+km
4xxx (QLD (Archerfield)),4487,518.6,300+km
4xxx (QLD (Archerfield)),4488,656.8,300+km
4xxx (QLD (Archerfield)),4489,832.3,300+km
4xxx (QLD (Archerfield)),4490,952.4,300+km
4xxx (QLD (Archerfield)),4491,862.4,300+km
4xxx (QLD (Archerfield)),4492,496.3,300+km
4xxx (QLD (Archerfield)),4493,984.8,300+km
4xxx (QLD (Archerfield)),4494,407.4,300+km
4xxx (QLD (Archerfield)),4496,463.2,300+km
4xxx (QLD (Archerfield)),4497,523.5,300+km
4xxx (QLD (Archerfield)),4498,409.8,300+km
4xxx (QLD (Archerfield)),4507,97.5,90-300km
4xxx (QLD (Archerfield)),4514,103.2,90-300km
4xxx (QLD (Archerfield)),4515,128.7,90-300km
4xxx (QLD (Archerfield)),4516,68.4,61-90km
4xxx (QLD (Archerfield)),4518,95.3,90-300km
4xxx (QLD (Archerfield)),4519,102.8,90-300km
4xxx (QLD (Archerfield)),4520,42.9,30-60km
4xxx (QLD (Archerfield)),4521,69.2,61-90km
4xxx (QLD (Archerfield)),4550,107.0,90-300km
4xxx (QLD (Archerfield)),4551,117.7,90-300km
4xxx (QLD (Archerfield)),4552,126.1,90-300km
4xxx (QLD (Archerfield)),4553,118.7,90-300km
4xxx (QLD (Archerfield)),4554,124.0,90-300km
4xxx (QLD (Archerfield)),4555,127.3,90-300km
4xxx (QLD (Archerfield)),4556,120.0,90-300km
4xxx (QLD (Archerfield)),4557,127.5,90-300km
4xxx (QLD (Archerfield)),4558,128.7,90-300km
4xxx (QLD (Archerfield)),4559,125.7,90-300km
4xxx (QLD (Archerfield)),4560,134.2,90-300km
4xxx (QLD (Archerfield)),4561,139.9,90-300km
4xxx (QLD (Archerfield)),4562,146.4,90-300km
4xxx (QLD (Archerfield)),4563,154.0,90-300km
4xxx (QLD (Archerfield)),4564,135.8,90-300km
4xxx (QLD (Archerfield)),4565,169.2,90-300km
4xxx (QLD (Archerfield)),4566,163.4,90-300km
4xxx (QLD (Archerfield)),4567,161.1,90-300km
4xxx (QLD (Archerfield)),4568,163.1,90-300km
4xxx (QLD (Archerfield)),4569,170.0,90-300km
4xxx (QLD (Archerfield)),4570,196.3,90-300km
4xxx (QLD (Archerfield)),4571,168.0,90-300km
4xxx (QLD (Archerfield)),4572,126.4,90-300km
4xxx (QLD (Archerfield)),4573,147.0,90-300km
4xxx (QLD (Archerfield)),4574,158.6,90-300km
4xxx (QLD (Archerfield)),4575,124.1,90-300km
4xxx (QLD (Archerfield)),4580,230.1,90-300km
4xxx (QLD (Archerfield)),4581,349.4,300+km
4xxx (QLD (Archerfield)),4600,252.5,90-300km
4xxx (QLD (Archerfield)),4601,259.7,90-300km
4xxx (QLD (Archerfield)),4605,264.4,90-300km
4xxx (QLD (Archerfield)),4606,252.3,90-300km
4xxx (QLD (Archerfield)),4608,242.0,90-300km
4xxx (QLD (Archerfield)),4610,235.9,90-300km
4xxx (QLD (Archerfield)),4611,281.3,90-300km
4xxx (QLD (Archerfield)),4612,293.4,90-300km
4xxx (QLD (Archerfield)),4613,313.6,300+km
4xxx (QLD (Archerfield)),4614,171.0,90-300km
4xxx (QLD (Archerfield)),4615,196.4,90-300km
4xxx (QLD (Archerfield)),4620,293.6,90-300km
4xxx (QLD (Archerfield)),4621,308.0,300+km
4xxx (QLD (Archerfield)),4625,369.2,300+km
4xxx (QLD (Archerfield)),4626,406.0,300+km
4xxx (QLD (Archerfield)),4627,434.6,300+km
4xxx (QLD (Archerfield)),4630,518.4,300+km
4xxx (QLD (Archerfield)),4650,265.6,90-300km
4xxx (QLD (Archerfield)),4655,309.3,300+km
4xxx (QLD (Archerfield)),4659,304.4,300+km
4xxx (QLD (Archerfield)),4660,335.4,300+km
4xxx (QLD (Archerfield)),4662,299.4,90-300km
4xxx (QLD (Archerfield)),4670,383.4,300+km
4xxx (QLD (Archerfield)),4671,408.9,300+km
4xxx (QLD (Archerfield)),4673,401.8,300+km
4xxx (QLD (Archerfield)),4674,445.7,300+km
4xxx (QLD (Archerfield)),4676,445.7,300+km
4xxx (QLD (Archerfield)),4677,472.6,300+km
4xxx (QLD (Archerfield)),4678,500.4,300+km
4xxx (QLD (Archerfield)),4680,548.1,300+km
4xxx (QLD (Archerfield)),4694,561.0,300+km
4xxx (QLD (Archerfield)),4695,598.4,300+km
4xxx (QLD (Archerfield)),4697,601.8,300+km
4xxx (QLD (Archerfield)),4699,609.6,300+km
4xxx (QLD (Archerfield)),4700,657.2,300+km
4xxx (QLD (Archerfield)),4701,662.5,300+km
4xxx (QLD (Archerfield)),4702,712.1,300+km
4xxx (QLD (Archerfield)),4703,699.9,300+km
4xxx (QLD (Archerfield)),4704,693.9,300+km
4xxx (QLD (Archerfield)),4705,784.1,300+km
4xxx (QLD (Archerfield)),4706,780.6,300+km
4xxx (QLD (Archerfield)),4707,832.3,300+km
4xxx (QLD (Archerfield)),4709,954.6,300+km
4xxx (QLD (Archerfield)),4710,702.7,300+km
4xxx (QLD (Archerfield)),4711,674.1,300+km
4xxx (QLD (Archerfield)),4712,754.5,300+km
4xxx (QLD (Archerfield)),4713,696.5,300+km
4xxx (QLD (Archerfield)),4714,676.1,300+km
4xxx (QLD (Archerfield)),4715,600.8,300+km
4xxx (QLD (Archerfield)),4716,555.4,300+km
4xxx (QLD (Archerfield)),4717,838.0,300+km
4xxx (QLD (Archerfield)),4718,689.8,300+km
4xxx (QLD (Archerfield)),4719,557.9,300+km
4xxx (QLD (Archerfield)),4720,875.9,300+km
4xxx (QLD (Archerfield)),4721,1077.3,300+km
4xxx (QLD (Archerfield)),4722,800.5,300+km
4xxx (QLD (Archerfield)),4723,922.6,300+km
4xxx (QLD (Archerfield)),4724,1015.6,300+km
4xxx (QLD (Archerfield)),4725,964.5,300+km
4xxx (QLD (Archerfield)),4726,964.5,300+km
4xxx (QLD (Archerfield)),4727,1141.5,300+km
4xxx (QLD (Archerfield)),4728,1072.5,300+km
4xxx (QLD (Archerfield)),4730,1282.1,300+km
4xxx (QLD (Archerfield)),4731,1075.4,300+km
4xxx (QLD (Archerfield)),4732,1110.4,300+km
4xxx (QLD (Archerfield)),4733,1427.4,300+km
4xxx (QLD (Archerfield)),4735,1498.5,300+km
4xxx (QLD (Archerfield)),4736,1276.7,300+km
4xxx (QLD (Archerfield)),4737,959.1,300+km
4xxx (QLD (Archerfield)),4738,926.3,300+km
4xxx (QLD (Archerfield)),4739,891.5,300+km
4xxx (QLD (Archerfield)),4740,989.1,300+km
4xxx (QLD (Archerfield)),4741,1011.9,300+km
4xxx (QLD (Archerfield)),4742,991.8,300+km
4xxx (QLD (Archerfield)),4743,1067.2,300+km
4xxx (QLD (Archerfield)),4744,1092.0,300+km
4xxx (QLD (Archerfield)),4745,982.0,300+km
4xxx (QLD (Archerfield)),4746,910.5,300+km
4xxx (QLD (Archerfield)),4750,1006.8,300+km
4xxx (QLD (Archerfield)),4751,999.1,300+km
4xxx (QLD (Archerfield)),4753,997.8,300+km
4xxx (QLD (Archerfield)),4754,1009.7,300+km
4xxx (QLD (Archerfield)),4756,1052.4,300+km
4xxx (QLD (Archerfield)),4757,1069.6,300+km
4xxx (QLD (Archerfield)),4798,1047.9,300+km
4xxx (QLD (Archerfield)),4799,1074.0,300+km
4xxx (QLD (Archerfield)),4800,1110.3,300+km
4xxx (QLD (Archerfield)),4801,1134.0,300+km
4xxx (QLD (Archerfield)),4802,1144.4,300+km
4xxx (QLD (Archerfield)),4803,1168.6,300+km
4xxx (QLD (Archerfield)),4804,1219.9,300+km
4xxx (QLD (Archerfield)),4805,1186.8,300+km
4xxx (QLD (Archerfield)),4806,1256.1,300+km
4xxx (QLD (Archerfield)),4807,1293.5,300+km
4xxx (QLD (Archerfield)),4808,1295.8,300+km
4xxx (QLD (Archerfield)),4809,1324.9,300+km
4xxx (QLD (Archerfield)),4810,1381.3,300+km
4xxx (QLD (Archerfield)),4811,1355.8,300+km
4xxx (QLD (Archerfield)),4812,1376.1,300+km
4xxx (QLD (Archerfield)),4813,1362.5,300+km
4xxx (QLD (Archerfield)),4814,1379.2,300+km
4xxx (QLD (Archerfield)),4815,1389.8,300+km
4xxx (QLD (Archerfield)),4816,1458.6,300+km
4xxx (QLD (Archerfield)),4817,1386.7,300+km
4xxx (QLD (Archerfield)),4818,1396.8,300+km
4xxx (QLD (Archerfield)),4819,1389.8,300+km
4xxx (QLD (Archerfield)),4820,1343.9,300+km
4xxx (QLD (Archerfield)),4821,1558.7,300+km
4xxx (QLD (Archerfield)),4822,1796.1,300+km
4xxx (QLD (Archerfield)),4823,1641.3,300+km
4xxx (QLD (Archerfield)),4824,1634.1,300+km
4xxx (QLD (Archerfield)),4825,1814.0,300+km
4xxx (QLD (Archerfield)),4828,2003.0,300+km
4xxx (QLD (Archerfield)),4829,1901.7,300+km
4xxx (QLD (Archerfield)),4830,1873.0,300+km
4xxx (QLD (Archerfield)),4849,1517.6,300+km
4xxx (QLD (Archerfield)),4850,1487.9,300+km
4xxx (QLD (Archerfield)),4852,1607.8,300+km
4xxx (QLD (Archerfield)),4854,1584.3,300+km
4xxx (QLD (Archerfield)),4855,1601.3,300+km
4xxx (QLD (Archerfield)),4856,1603.1,300+km
4xxx (QLD (Archerfield)),4857,1610.9,300+km
4xxx (QLD (Archerfield)),4858,1628.8,300+km
4xxx (QLD (Archerfield)),4859,1633.7,300+km
4xxx (QLD (Archerfield)),4860,1644.5,300+km
4xxx (QLD (Archerfield)),4861,1645.6,300+km
4xxx (QLD (Archerfield)),4865,1686.3,300+km
4xxx (QLD (Archerfield)),4868,1718.7,300+km
4xxx (QLD (Archerfield)),4869,1713.1,300+km
4xxx (QLD (Archerfield)),4870,1727.2,300+km
4xxx (QLD (Archerfield)),4871,1771.0,300+km
4xxx (QLD (Archerfield)),4872,1757.3,300+km
4xxx (QLD (Archerfield)),4873,1839.3,300+km
4xxx (QLD (Archerfield)),4874,2557.1,300+km
4xxx (QLD (Archerfield)),4875,1754.5,300+km
4xxx (QLD (Archerfield)),4876,1754.5,300+km
4xxx (QLD (Archerfield)),4877,1782.0,300+km
4xxx (QLD (Archerfield)),4878,1737.1,300+km
4xxx (QLD (Archerfield)),4879,1745.4,300+km
4xxx (QLD (Archerfield)),4880,1773.8,300+km
4xxx (QLD (Archerfield)),4881,1760.3,300+km
4xxx (QLD (Archerfield)),4882,1737.8,300+km
4xxx (QLD (Archerfield)),4883,1737.0,300+km
4xxx (QLD (Archerfield)),4884,1723.8,300+km
4xxx (QLD (Archerfield)),4885,1714.1,300+km
4xxx (QLD (Archerfield)),4886,1670.9,300+km
4xxx (QLD (Archerfield)),4887,1709.4,300+km
4xxx (QLD (Archerfield)),4888,1722.3,300+km
4xxx (QLD (Archerfield)),4890,2093.4,300+km
4xxx (QLD (Archerfield)),4891,2145.6,300+km
4xxx (QLD (Archerfield)),4892,1985.3,300+km
4xxx (QLD (Archerfield)),4895,1985.3,300+km
5xxx (SA (Adelaide)),5000,0.5,<30km
5xxx (SA (Adelaide)),5001,0.0,<30km
5xxx (SA (Adelaide)),5005,5.0,<30km
5xxx (SA (Adelaide)),5006,4.8,<30km
5xxx (SA (Adelaide)),5007,4.9,<30km
5xxx (SA (Adelaide)),5008,5.9,<30km
5xxx (SA (Adelaide)),5009,6.6,<30km
5xxx (SA (Adelaide)),5010,10.5,<30km
5xxx (SA (Adelaide)),5011,7.9,<30km
5xxx (SA (Adelaide)),5012,12.0,<30km
5xxx (SA (Adelaide)),5013,14.0,<30km
5xxx (SA (Adelaide)),5014,10.8,<30km
5xxx (SA (Adelaide)),5015,15.7,<30km
5xxx (SA (Adelaide)),5016,20.9,<30km
5xxx (SA (Adelaide)),5017,23.2,<30km
5xxx (SA (Adelaide)),5018,25.8,<30km
5xxx (SA (Adelaide)),5019,16.0,<30km
5xxx (SA (Adelaide)),5020,15.3,<30km
5xxx (SA (Adelaide)),5021,13.7,<30km
5xxx (SA (Adelaide)),5022,12.2,<30km
5xxx (SA (Adelaide)),5023,10.1,<30km
5xxx (SA (Adelaide)),5024,8.8,<30km
5xxx (SA (Adelaide)),5025,7.8,<30km
5xxx (SA (Adelaide)),5031,3.7,<30km
5xxx (SA (Adelaide)),5032,6.8,<30km
5xxx (SA (Adelaide)),5033,4.3,<30km
5xxx (SA (Adelaide)),5034,3.9,<30km
5xxx (SA (Adelaide)),5035,3.7,<30km
5xxx (SA (Adelaide)),5037,5.6,<30km
5xxx (SA (Adelaide)),5038,7.5,<30km
5xxx (SA (Adelaide)),5039,7.4,<30km
5xxx (SA (Adelaide)),5040,8.5,<30km
5xxx (SA (Adelaide)),5041,7.8,<30km
5xxx (SA (Adelaide)),5042,12.3,<30km
5xxx (SA (Adelaide)),5043,8.8,<30km
5xxx (SA (Adelaide)),5044,10.9,<30km
5xxx (SA (Adelaide)),5045,10.7,<30km
5xxx (SA (Adelaide)),5046,11.9,<30km
5xxx (SA (Adelaide)),5047,15.0,<30km
5xxx (SA (Adelaide)),5048,14.6,<30km
5xxx (SA (Adelaide)),5049,17.3,<30km
5xxx (SA (Adelaide)),5050,13.6,<30km
5xxx (SA (Adelaide)),5051,15.7,<30km
5xxx (SA (Adelaide)),5052,10.9,<30km
5xxx (SA (Adelaide)),5061,4.1,<30km
5xxx (SA (Adelaide)),5062,6.8,<30km
5xxx (SA (Adelaide)),5063,3.8,<30km
5xxx (SA (Adelaide)),5064,6.7,<30km
5xxx (SA (Adelaide)),5065,4.7,<30km
5xxx (SA (Adelaide)),5066,7.9,<30km
5xxx (SA (Adelaide)),5067,3.7,<30km
5xxx (SA (Adelaide)),5068,5.6,<30km
5xxx (SA (Adelaide)),5069,4.2,<30km
5xxx (SA (Adelaide)),5070,6.7,<30km
5xxx (SA (Adelaide)),5071,3.2,<30km
5xxx (SA (Adelaide)),5072,9.1,<30km
5xxx (SA (Adelaide)),5073,9.6,<30km
5xxx (SA (Adelaide)),5074,11.7,<30km
5xxx (SA (Adelaide)),5075,11.1,<30km
5xxx (SA (Adelaide)),5076,15.3,<30km
5xxx (SA (Adelaide)),5081,5.4,<30km
5xxx (SA (Adelaide)),5082,4.8,<30km
5xxx (SA (Adelaide)),5083,7.9,<30km
5xxx (SA (Adelaide)),5084,9.1,<30km
5xxx (SA (Adelaide)),5085,9.7,<30km
5xxx (SA (Adelaide)),5086,9.2,<30km
5xxx (SA (Adelaide)),5087,9.7,<30km
5xxx (SA (Adelaide)),5088,13.0,<30km
5xxx (SA (Adelaide)),5089,14.0,<30km
5xxx (SA (Adelaide)),5090,17.4,<30km
5xxx (SA (Adelaide)),5091,19.6,<30km
5xxx (SA (Adelaide)),5092,18.0,<30km
5xxx (SA (Adelaide)),5093,15.6,<30km
5xxx (SA (Adelaide)),5094,12.5,<30km
5xxx (SA (Adelaide)),5095,15.9,<30km
5xxx (SA (Adelaide)),5096,18.8,<30km
5xxx (SA (Adelaide)),5097,18.4,<30km
5xxx (SA (Adelaide)),5098,14.4,<30km
5xxx (SA (Adelaide)),5106,23.0,<30km
5xxx (SA (Adelaide)),5107,21.0,<30km
5xxx (SA (Adelaide)),5108,25.5,<30km
5xxx (SA (Adelaide)),5109,26.9,<30km
5xxx (SA (Adelaide)),5110,25.1,<30km
5xxx (SA (Adelaide)),5111,40.4,30-60km
5xxx (SA (Adelaide)),5112,29.9,<30km
5xxx (SA (Adelaide)),5113,40.7,30-60km
5xxx (SA (Adelaide)),5114,44.7,30-60km
5xxx (SA (Adelaide)),5115,42.9,30-60km
5xxx (SA (Adelaide)),5116,46.7,30-60km
5xxx (SA (Adelaide)),5117,38.8,30-60km
5xxx (SA (Adelaide)),5118,53.3,30-60km
5xxx (SA (Adelaide)),5120,34.4,30-60km
5xxx (SA (Adelaide)),5121,37.0,30-60km
5xxx (SA (Adelaide)),5125,25.5,<30km
5xxx (SA (Adelaide)),5126,22.0,<30km
5xxx (SA (Adelaide)),5127,21.5,<30km
5xxx (SA (Adelaide)),5131,25.3,<30km
5xxx (SA (Adelaide)),5132,23.7,<30km
5xxx (SA (Adelaide)),5133,23.8,<30km
5xxx (SA (Adelaide)),5134,20.7,<30km
5xxx (SA (Adelaide)),5136,14.3,<30km
5xxx (SA (Adelaide)),5137,17.9,<30km
5xxx (SA (Adelaide)),5138,21.9,<30km
5xxx (SA (Adelaide)),5139,26.1,<30km
5xxx (SA (Adelaide)),5140,12.2,<30km
5xxx (SA (Adelaide)),5141,15.8,<30km
5xxx (SA (Adelaide)),5142,17.6,<30km
